,genres,release_date,price,id,game_name
88310,"Action, Casual, Indie, Simulation, Strategy",2018-01-04,4.99,761140,Lost Summoner Kitty - Lost Summoner Kitty
88311,"Free to Play, Indie, RPG, Strategy",2018-01-04,Free To Play,643980,Ironbound - Ironbound
88312,"Casual, Free to Play, Indie, Simulation, Sports",2017-07-24,Free to Play,670290,Real Pool 3D - Poolians - Real Pool 3D - Poolians
88313,"Action, Adventure, Casual",2017-12-07,0.99,767400,弹炸人2222 - 弹炸人2222
88315,"Action, Adventure, Simulation",2018-01-04,3.99,772540,Battle Royale Trainer - Battle Royale Trainer
88317,"Free to Play, Indie, Simulation, Sports",2018-01-04,18.99,774277,SNOW - All Access Pro Pass - SNOW - All Access Pro Pass
88318,"Free to Play, Indie, Simulation, Sports",2018-01-04,29.99,774278,SNOW - All Access Legend Pass - SNOW - All Access Legend Pass
88322,"Action, Adventure, Casual, Indie, RPG",2018-01-04,10.99,770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition - Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
88323,"Casual, Indie",2018-01-04,3.99,768880,Beach Rules - Beach Rules
88324,"Casual, Indie, Simulation",2018-01-03,2.99,765320,Planetarium 2 - Zen Odyssey - Planetarium 2 - Zen Odyssey
88325,"Adventure, Casual, Indie, Simulation, Strategy",2018-01-03,1.59,773650,The first thrust of God - The first thrust of God
88326,"Free to Play, Indie, Simulation, Sports",2018-01-03,14.99,774271,SNOW - Starter Pack - SNOW - Starter Pack
88327,"Adventure, Casual, Indie, Simulation, Strategy",2018-01-03,1.99,773690,The first thrust of God - All Aircrafts - The first thrust of God - All Aircrafts
88328,"Free to Play, Indie, Simulation, Sports",2018-01-03,59.99,774279,SNOW - Lifetime Pack - SNOW - Lifetime Pack
88331,"Action, Adventure, Indie",2018-01-03,0.99,768060,The Warrior Of Treasures - The Warrior Of Treasures
88333,"Racing, Simulation, Sports",2017-12-22,2.99,775880,RC Plane 3 - Canyon Scenario - RC Plane 3 - Canyon Scenario
88334,"Racing, Simulation, Sports",2017-12-23,2.99,775881,RC Plane 3 - F-53B - RC Plane 3 - F-53B
88335,"Action, Indie",2018-01-03,4.99,653960,DinoBlaster - DinoBlaster
88337,"Action, Indie, Racing",1997-06-30,9.99,282010,Carmageddon Max Pack - Carmageddon Max Pack
88338,Action,1998-11-08,9.99,70,Half-Life - Half-Life
88339,"Action, Indie, RPG",2016-11-25,1.99,752360,Fallen Mage - Fallen Mage
88343,"Casual, Indie, Simulation",2018-01-01,0.99,766850,Vaporwave Simulator - Vaporwave Simulator
88348,"Adventure, Casual, Indie, RPG",2018-01-01,0.99,716110,Bitcoin Clicker - Bitcoin Clicker
88349,Strategy,2006-07-06,6.99,1640,Disciples II: Gallean's Return - Disciples II: Gallean's Return
88350,Strategy,2006-07-06,6.99,1630,Disciples II: Rise of the Elves - Disciples II: Rise of the Elves
88351,"Action, Indie, RPG",2006-07-11,9.99,2400,The Ship: Murder Party - The Ship: Murder Party
88356,"Action, Indie, Strategy, Early Access",2017-12-29,7.99,759920,Souland - Souland
88358,"Action, Adventure, Indie, RPG",2017-12-29,10.99,603280,TAROTICA VOO DOO - TAROTICA VOO DOO
88359,"Casual, Strategy, Early Access",2017-12-29,9.99,753110,Chronicles of Vinland - Chronicles of Vinland
88360,"Action, Indie",2017-12-29,9.99,753100,Orbitality - Orbitality
88362,"Action, Adventure, Casual",2017-12-30,1.99,764280,Atomic Adam: Episode 1 - Atomic Adam: Episode 1
88365,Action,2005-08-09,9.99,3800,Advent Rising - Advent Rising
88366,"Indie, Strategy",2006-09-29,9.99,1520,DEFCON - DEFCON
88367,"Action, Indie, RPG",2006-11-20,9.99,2420,The Ship: Single Player - The Ship: Single Player
88368,"Indie, Simulation",2006-11-29,9.99,4000,Garry's Mod - Garry's Mod
88369,Racing,2006-11-24,39.99,4230,RACE - The WTCC Game - RACE - The WTCC Game
88370,"Casual, Indie",2006-12-14,Free,4900,Zen of Sudoku - Zen of Sudoku
88371,"Casual, Indie",2006-12-19,4.99,2520,Gumboy - Crazy Adventures™ - Gumboy - Crazy Adventures™
88372,Strategy,2003-08-23,4.99,6200,Ghost Master® - Ghost Master®
88373,Strategy,2006-12-21,4.99,6210,Vegas: Make It Big™ - Vegas: Make It Big™
88374,"Adventure, RPG",2006-04-17,19.99,6300,Dreamfall: The Longest Journey - Dreamfall: The Longest Journey
88375,Racing,2006-08-01,9.99,2990,FlatOut 2™ - FlatOut 2™
88376,Racing,2005-07-12,7.49,6220,FlatOut - FlatOut
88377,"Action, Adventure",2007-06-26,14.99,6510,Lost Planet™: Extreme Condition - Lost Planet™: Extreme Condition
88378,Strategy,2006-07-24,9.99,3980,CivCity: Rome - CivCity: Rome
88379,RPG,2002-11-12,4.99,1700,Arx Fatalis - Arx Fatalis
88380,"Action, Adventure, RPG",2000-11-17,9.99,6310,The Longest Journey - The Longest Journey
88381,Strategy,2006-07-24,4.99,3990,Civilization IV®: Warlords - Civilization IV®: Warlords
88382,Strategy,2003-10-23,9.99,7610,Railroad Tycoon 3 - Railroad Tycoon 3
88383,Strategy,2006-10-16,9.99,7600,Sid Meier's Railroads! - Sid Meier's Railroads!
88385,Strategy,1998-10-31,4.99,7620,Railroad Tycoon II Platinum - Railroad Tycoon II Platinum
88387,Strategy,1995-04-01,4.99,7650,X-COM: Terror From the Deep - X-COM: Terror From the Deep
88388,"Action, Adventure",2007-06-05,8.99,8000,Tomb Raider: Anniversary - Tomb Raider: Anniversary
88389,Action,2006-05-23,19.99,6550,Devil May Cry® 3 Special Edition - Devil May Cry® 3 Special Edition
88390,"Action, Adventure",2006-10-17,19.99,8200,Sam & Max 101: Culture Shock - Sam &amp; Max 101: Culture Shock
88391,Action,1996-06-17,4.99,2290,Final DOOM - Final DOOM
88393,"Action, Adventure",2006-12-20,19.99,8210,Sam & Max 102: Situation: Comedy - Sam &amp; Max 102: Situation: Comedy
88394,Action,1995-04-30,4.99,2280,Ultimate Doom - Ultimate Doom
88395,Action,1995-06-01,14.99,9160,Master Levels for Doom II - Master Levels for Doom II
88396,Action,1994-05-05,4.99,2300,DOOM II - DOOM II
88397,Action,1994-08-03,4.99,2270,Wolfenstein 3D - Wolfenstein 3D
88398,Action,2001-11-20,4.99,9010,Return to Castle Wolfenstein - Return to Castle Wolfenstein
88399,Action,1997-02-28,2.99,9040,QUAKE Mission Pack 1: Scourge of Armagon - QUAKE Mission Pack 1: Scourge of Armagon
88400,Action,1993-10-10,2.99,9000,Spear of Destiny - Spear of Destiny
88401,Action,2003-09-09,9.99,3810,BloodRayne - BloodRayne
88402,Action,2007-08-03,2.99,9030,QUAKE Mission Pack 2: Dissolution of Eternity - QUAKE Mission Pack 2: Dissolution of Eternity
88403,Action,2007-05-31,4.99,2310,QUAKE - QUAKE
88404,Strategy,2007-03-20,4.99,3230,Genesis Rising - Genesis Rising
88405,Strategy,2006-01-01,12.99,9310,"Warhammer® 40,000: Dawn of War® – Winter Assault - Warhammer® 40,000: Dawn of War® – Winter Assault"
88406,"Action, RPG",2007-08-21,19.99,7670,BioShock™ - BioShock™
88407,Strategy,2006-01-01,12.99,4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition - Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
88408,Strategy,2006-10-09,12.99,4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade - Warhammer® 40,000: Dawn of War® - Dark Crusade"
88409,Strategy,2004-09-22,9.99,4760,Rome: Total War™ - Collection - Rome: Total War™ - Collection
88410,Strategy,2006-06-26,4.99,4770,Rome: Total War™ - Alexander - Rome: Total War™ - Alexander
88411,Casual,2007-12-14,6.99,50970,Mystery Case Files: Madame Fate® - Mystery Case Files: Madame Fate®
88414,Action,2004-04-20,9.99,12130,Manhunt - Manhunt
88415,Racing,2003-07-01,9.99,12160,Midnight Club 2 - Midnight Club 2
88416,Action,2003-10-14,9.99,12150,Max Payne 2: The Fall of Max Payne - Max Payne 2: The Fall of Max Payne
88417,"Action, Adventure",2006-04-07,6.99,7000,Tomb Raider: Legend - Tomb Raider: Legend
