genres,user_id,playtime_forever,year
"Action, Indie, Racing",UTNerd24,5.0,1997
"Action, Indie, Racing",I_DID_911_JUST_SAYING,0.0,1997
"Action, Indie, Racing",76561197962104795,0.0,1997
"Action, Indie, Racing",r3ap3r78,0.0,1997
"Action, Indie, Racing",saint556,13.0,1997
Action,76561197970982479,0.0,1998
Action,js41637,0.0,1998
Action,Riot-Punch,0.0,1998
Action,doctr,108.0,1998
Action,NitemarePK,0.0,1998
Action,themanwich,32.0,1998
Action,maplemage,10.0,1998
Action,corrupted_soul,227.0,1998
Action,cadmusthreepointoh,36.0,1998
Action,76561198089393905,0.0,1998
Action,WeiEDKrSat,1.0,1998
Action,thequeenpanda,633.0,1998
Action,death-hunter,27.0,1998
Action,bbaekhyun,0.0,1998
Action,Fr0stedLine,1489.0,1998
Action,diego9031,3.0,1998
Action,UTNerd24,16.0,1998
Action,kube134,4.0,1998
Action,Posiblydead,33.0,1998
Action,sad-commie,0.0,1998
Action,76561198030567998,21.0,1998
Action,therealmorty,890.0,1998
Action,itslonk,8.0,1998
Action,76561198056857968,451.0,1998
Action,xfluttersx,622.0,1998
Action,Xx-Woods,99.0,1998
Action,jonasdbomb,0.0,1998
Action,Sanctus94,0.0,1998
Action,76561197990792016,1841.0,1998
Action,AVATAR715,4.0,1998
Action,Magjiikal,168.0,1998
Action,ohnospaghet,392.0,1998
Action,exiaez,0.0,1998
Action,EizanAratoFujimaki,1395.0,1998
Action,ZyhgarThestarweaver,33.0,1998
Action,washington_,33.0,1998
Action,CobRazor,539.0,1998
Action,PabloSanches,95.0,1998
Action,76561198069713121,0.0,1998
Action,1337lolroflmao,409.0,1998
Action,76561198151645088,74.0,1998
Action,IAA_Recon_Dropbear,0.0,1998
Action,OzfurAtlas,0.0,1998
Action,76561198044169764,141.0,1998
Action,66666669999999,0.0,1998
Action,Wilfire77,291.0,1998
Action,76561198060808273,1211.0,1998
Action,Mastic,339.0,1998
Action,deathnz1,43.0,1998
Action,76561198045754869,84.0,1998
Action,adohya343,13.0,1998
Action,76561198096220900,88.0,1998
Action,mrpfresh,139.0,1998
Action,GamerFag,590.0,1998
Action,76561198002820828,0.0,1998
Action,-GM-Dragon,133.0,1998
Action,Thatishayden,0.0,1998
Action,76561197962104795,0.0,1998
Action,76561198074257942,14.0,1998
Action,Aaron_ggf,0.0,1998
Action,acorn13,62.0,1998
Action,76561198090899557,533.0,1998
Action,advenger95,339.0,1998
Action,aeryal,1.0,1998
Action,Agronoth,0.0,1998
Action,SlutOnTheSpit,0.0,1998
Action,76561198003056556,0.0,1998
Action,76561198063941075,0.0,1998
Action,76561198056092813,216.0,1998
Action,76561198034129825,687.0,1998
Action,Jupeter117,0.0,1998
Action,AMV72,468.0,1998
Action,76561198085956238,87.0,1998
Action,76561198058301224,0.0,1998
Action,someone6245,1.0,1998
Action,uradumbtit,133.0,1998
Action,1234865654,471.0,1998
Action,76561198039441595,60.0,1998
Action,Apollopepsi,8.0,1998
Action,Aquilares,59.0,1998
Action,76561197974500703,0.0,1998
Action,76561198067188826,0.0,1998
Action,rotflmaoman,76.0,1998
Action,armouredmarshmallow,788.0,1998
Action,76561198020928326,5599.0,1998
Action,ARTHERDUNGER10,789.0,1998
Action,Mackus1011,829.0,1998
Action,scroopy22,0.0,1998
Action,auzzie_96,0.0,1998
Action,Azrafael,0.0,1998
Action,hoarbiscuit,157.0,1998
Action,bohgeraltofrivia,17.0,1998
Action,BAW_Killer,19.0,1998
Action,gamerdude7892,0.0,1998
Action,hamfritta,0.0,1998
Action,crispymemesmantheyremyfavourite,0.0,1998
Action,76561198075039895,8.0,1998
Action,PolygonCloud,57.0,1998
Action,76561198047208452,1621.0,1998
Action,76561197994969639,44.0,1998
Action,76561197960694096,0.0,1998
Action,Too_1337,916.0,1998
Action,76561198074755143,1.0,1998
Action,76561198035363871,739.0,1998
Action,CHAAANG,157.0,1998
Action,bitmat,0.0,1998
Action,180577,0.0,1998
Action,76561198007478325,0.0,1998
Action,FHK,0.0,1998
Action,Bluegills,64.0,1998
Action,13lazer,335.0,1998
Action,boogs17,40.0,1998
Action,boydo,0.0,1998
Action,BrutalLegend69,488.0,1998
Action,76561198007539695,140.0,1998
Action,saint556,4.0,1998
Action,xythesis,170.0,1998
Action,Vladimirputinisgreatman,241.0,1998
Action,sdarkneeds,0.0,1998
Action,thebtb,0.0,1998
Action,76561198105270589,38.0,1998
Action,notbudds,0.0,1998
Action,76561198041518533,423.0,1998
Action,76561198087011672,0.0,1998
Action,Butterz,0.0,1998
Action,C13GE,333.0,1998
Action,76561198053685392,4.0,1998
Action,76561198084718144,1404.0,1998
Action,calypto52,15.0,1998
Action,aquelecaraqfazaquilo,233.0,1998
